,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
0,Divorced,84835.0,0,0,6/16/14,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,SP
1,Single,57091.0,0,0,6/15/14,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,CA
2,Married,67267.0,0,1,5/13/14,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,US
3,Together,32474.0,1,1,5/11/14,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS
4,Single,21474.0,1,0,4/8/14,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,SP
5,Single,71691.0,0,0,3/17/14,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,SP
6,Married,63564.0,0,0,1/29/14,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,GER
7,Together,44931.0,0,1,1/18/14,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,SP
8,Married,65324.0,0,1,1/11/14,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US
9,Married,65324.0,0,1,1/11/14,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IND
10,Married,81044.0,0,0,12/27/13,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,US
11,Together,62499.0,1,0,12/9/13,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,SP
12,Widow,67786.0,0,0,12/7/13,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,IND
13,Married,26872.0,0,0,10/16/13,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,CA
14,Married,4428.0,0,1,10/5/13,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,SP
15,Married,54809.0,1,1,9/11/13,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP
16,Married,54809.0,1,1,9/11/13,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,SP
17,Divorced,32173.0,0,1,8/1/13,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,SP
18,Single,47823.0,0,1,7/23/13,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,CA
19,Single,30523.0,2,1,7/1/13,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,CA
